nama_upt,jenis_upt,kelas_upt,subjenis_upt,provinsi,kanwil,kabupaten_kota,alamat,latitude,longitude,coordinate_quality,coordinate_source,coordinate_score,location_hint,aktif,catatan_verifikasi
Lapas Kelas I Cipinang,Lapas,I,Umum,DKI Jakarta,Kantor Wilayah Ditjenpas DKI Jakarta,Kota Jakarta Timur,,-6.26289085,106.88222894692834,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,JAKARTA TIMUR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Salemba,Lapas,IIA,Umum,DKI Jakarta,Kantor Wilayah Ditjenpas DKI Jakarta,Kota Jakarta Pusat,,-6.18233995,106.84287153600738,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,JAKARTA PUSAT,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Narkotika Kelas IIA Jakarta,Lapas,IIA,Narkotika,DKI Jakarta,Kantor Wilayah Ditjenpas DKI Jakarta,Kota Jakarta Selatan,,-6.28381815,106.80486325728526,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,JAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Perempuan Kelas IIA Jakarta,Lapas,IIA,Perempuan,DKI Jakarta,Kantor Wilayah Ditjenpas DKI Jakarta,Kota Jakarta Selatan,,-6.28381815,106.80486325728526,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,JAKARTA,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Cipinang,Rutan,I,Umum,DKI Jakarta,Kantor Wilayah Ditjenpas DKI Jakarta,Kota Jakarta Timur,,-6.26289085,106.88222894692834,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,JAKARTA TIMUR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Jakarta Pusat,Rutan,I,Umum,DKI Jakarta,Kantor Wilayah Ditjenpas DKI Jakarta,Kota Jakarta Pusat,,-6.18233995,106.84287153600738,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,JAKARTA PUSAT,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Rutan Kelas I Pondok Bambu,Rutan,I,Umum,DKI Jakarta,Kantor Wilayah Ditjenpas DKI Jakarta,Kota Jakarta Timur,,-6.26289085,106.88222894692834,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.95,JAKARTA TIMUR,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIA Gorontalo,Lapas,IIA,Umum,Gorontalo,Kantor Wilayah Ditjenpas Gorontalo,Gorontalo Utara,,0.86619755,123.04952863746922,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,GORONTALO,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Boalemo,Lapas,IIB,Umum,Gorontalo,Kantor Wilayah Ditjenpas Gorontalo,Boalemo,,0.6876201500000001,122.3356833162286,Pusat kota/kabupaten—kandidat,Kandidat pusat wilayah dari dataset geocode administratif,0.88,BOALEMO,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
Lapas Kelas IIB Pahuwato,Lapas,IIB,Umum,Gorontalo,Kantor Wilayah Ditjenpas Gorontalo,,,0.6999,122.4467,Pusat provinsi—perlu verifikasi,Kandidat pusat wilayah dari dataset geocode administratif,0.093,PAHUWATO,True,Koordinat belum menunjukkan alamat gedung UPT; wajib diperiksa Super Admin.
